endereco,bairro,cep,id_endereco,id_cidade,id_bairro,lat_char,long_char,lat_num,long_num,cras,creas
Rua Vinte,Jardim Orestes Lopes de Camargo,14066468,230409,9560,23351,"","",-21.122655,-47.831096,11,4
Rua João Pontin,Parque das Figueiras,14065470,230224,9560,23373,"","",-21.1315008,-47.8364251,11,4
Rua Oswaldo Borelli,Parque das Figueiras,14065480,230225,9560,23373,"","",-21.1313245,-47.8357508,11,4
Rua Coronel Américo Batista,Parque das Figueiras,14065483,230226,9560,23373,"","",-21.1317578,-47.8346106,11,4
Avenida Ettore e Aurora Coraucci,Parque das Figueiras,14065680,230256,9560,23373,"","",-21.1272252,-47.8321112,11,4
Rua Carmosino Borges,Parque das Figueiras,14065684,230258,9560,23373,"","",-21.1325569,-47.8372949,11,4
Rua Guilherme Borini,Parque das Figueiras,14065685,230259,9560,23373,"","",-21.1321208,-47.8376901,11,4
Rua Neveton Freitas de Souza,Parque das Figueiras,14065686,230260,9560,23373,"","",-21.1316727,-47.8380724,11,4
Rua Maria Cristina Moreira,Parque das Figueiras,14065687,230261,9560,23373,"","",-21.1312571,-47.8385481,11,4
Rua Neide Marcondes de Melo,Parque das Figueiras,14065688,230262,9560,23373,"","",-21.1303165,-47.8385824,11,4
Rua Amélia de Oliveira Rosseto,Parque das Figueiras,14065690,230263,9560,23373,"","",-21.1294213,-47.8388763,11,4
Rua Albertina Alves Pontes Bernardes da Silva,Parque das Figueiras,14065693,230264,9560,23373,"","",-21.1303109,-47.8395696,11,4
Rua Joaquim Corrêa,Parque das Figueiras,14065696,230267,9560,23373,"","",-21.1288428,-47.8405031,11,4
Rua Guido Zanello,Parque das Figueiras,14065698,230268,9560,23373,"","",-21.1352142,-47.8367686,11,4
Via Luiz Galvão Cezar,Parque das Figueiras,14065700,230269,9560,23373,"","",-21.1354258,-47.8371165,11,4
Rua Benedicto Thomaz Terreri,Parque das Figueiras,14065683,230257,9560,23373,"","",-21.133158,-47.837081,11,4
Rua Alfredo Tiezzi,Parque das Figueiras,14065694,230265,9560,23373,"","",-21.130463,-47.840754,11,4
Rua Arthur Fraccadosso,Parque das Figueiras,14065695,230266,9560,23373,"","",-21.129984,-47.841123,11,4
Avenida Esthevão Nomelini,Parque dos Pinus,14062230,230021,9560,23377,"","",-21.1201460,-47.8256493,11,4
Avenida Ernesto Guevara La Serna,Parque dos Pinus,14062232,230022,9560,23377,"","",-21.1198351,-47.8222324,11,4
Rua Hercília Bueno de Souza Junqueira,Parque dos Pinus,14062235,230024,9560,23377,"","",-21.1207198,-47.8235209,11,4
Rua Attílio Perticarrari,Parque dos Pinus,14062236,230025,9560,23377,"","",-21.1196062,-47.8233245,11,4
Rua Shii Mikawa,Parque dos Pinus,14062242,230028,9560,23377,"","",-21.1204060,-47.8187695,11,4
Rua Moscardo Montanhini,Parque dos Pinus,14062245,230029,9560,23377,"","",-21.1186496,-47.8201022,11,4
Rua Daniel Torrieri,Parque dos Pinus,14062246,230030,9560,23377,"","",-21.1186961,-47.8205928,11,4
Rua Renato Bulgarelli,Parque dos Pinus,14062234,230023,9560,23377,"","",-21.121024,-47.823950,11,4
Rua Capitão Theophanes Teixeira de Andrade,Parque dos Pinus,14062240,230026,9560,23377,"","",-21.120606,-47.819776,11,4
Rua Dagmar Drosghic Gonçalves de Araújo,Parque dos Pinus,14062241,230027,9560,23377,"","",-21.120344,-47.820968,11,4
Rua Antônio Martinez Ruiz,Parque dos Pinus,14062248,230032,9560,23377,"","",-21.1187575,-47.8216807,11,4
Rua Palmiro Bim,Parque dos Pinus,14062249,230033,9560,23377,"","",-21.1207656,-47.8210218,11,4
Rodovia Alexandre Balbo,Parque dos Pinus,14062800,230042,9560,23377,"","",-21.1258524,-47.8430160,11,4
Rua Luiza Maria Tognon Perticarrari,Parque dos Pinus,14062247,230031,9560,23377,"","",-21.118791,-47.821127,11,4
Rua Severino Antonio da Mata,Parque dos Pinus,14062250,230034,9560,23377,"","",-21.118960,-47.822791,11,4
Rua Mathias Gonçalves,Presidente Dutra,14060320,229722,9560,23388,"","",-21.1371769,-47.8138622,11,4
Rua Carolina Maria de Jesus,Presidente Dutra,14060330,229723,9560,23388,"","",-21.1364688,-47.8132604,11,4
Rua Vanderlei Pontin,Presidente Dutra,14060559,229781,9560,23388,"","",-21.1387413,-47.8110836,11,4
Rua El Príncipe Negro,Presidente Dutra,14060579,229788,9560,23388,"","",-21.1374615,-47.8127532,11,4
Rua Izalta dos Santos Couto,Presidente Dutra,14060599,229795,9560,23388,"","",-21.1362108,-47.8143630,11,4
Rua Gabriel Gomes Nabo,Presidente Dutra,14060629,229804,9560,23388,"","",-21.1347717,-47.8161814,11,4
Rua Ângelo Romano,Presidente Dutra,14060680,229836,9560,23388,"","",-21.1310670,-47.8177586,11,4
Rua Rio Paraguaçu,Presidente Dutra,14060686,229837,9560,23388,"","",-21.1280147,-47.8196030,11,4
Rua João Victaliano,Presidente Dutra,14060690,229838,9560,23388,"","",-21.1316283,-47.8151424,11,4
Rua José Augusto de Miranda Paciência,Presidente Dutra,14060700,229839,9560,23388,"","",-21.1317526,-47.8158796,11,4
Rua Custódio Martins de Barros,Presidente Dutra,14060710,229840,9560,23388,"","",-21.1319335,-47.8166513,11,4
Rua José Mendonça Uchôa,Presidente Dutra,14060720,229841,9560,23388,"","",-21.1316553,-47.8170281,11,4
Rua Antônio Lago,Presidente Dutra,14060730,229842,9560,23388,"","",-21.1313662,-47.8173810,11,4
Rua Tereza Marturano Lagamba,Presidente Dutra,14060740,229843,9560,23388,"","",-21.1310670,-47.8177586,11,4
Rua Doutor Romano Morandi,Presidente Dutra,14060750,229844,9560,23388,"","",-21.1307793,-47.8181320,11,4
Rua Jornalista Cândido Motta Filho,Presidente Dutra,14060760,229845,9560,23388,"","",-21.1314248,-47.8193497,11,4
Rua Targino Osório,Presidente Dutra,14060770,229847,9560,23388,"","",-21.1293334,-47.8179568,11,4
Rua Vereador Antônio da Silva Salles,Presidente Dutra,14060780,229848,9560,23388,"","",-21.1289838,-47.8183966,11,4
Rua Sebastião Ponton,Presidente Dutra,14060790,229849,9560,23388,"","",-21.1286944,-47.8187498,11,4
Rua Hercolina Verri Alonso,Presidente Dutra,14060800,229850,9560,23388,"","",-21.1293057,-47.8199928,11,4
Rua Bunitiro Funayama,Valentina Figueiredo,14061500,229944,9560,23406,"","",-21.1217215,-47.8045607,11,4
Rua João Sperândio,Valentina Figueiredo,14061510,229945,9560,23406,"","",-21.1214991,-47.8036355,11,4
Rua Arlindo Machado Souza,Valentina Figueiredo,14061520,229946,9560,23406,"","",-21.1209855,-47.8034015,11,4
Rua Maximiano Valin,Valentina Figueiredo,14061530,229947,9560,23406,"","",-21.1205638,-47.8039299,11,4
Rua Professor José Luiz de Siqueira,Valentina Figueiredo,14061539,229948,9560,23406,"","",-21.12126340,-47.80368050,11,4
Avenida José de Laurentis,Valentina Figueiredo,14061540,229949,9560,23406,"","",-21.1207592,-47.8046683,11,4
Avenida João Batista Duarte,Valentina Figueiredo,14061550,229950,9560,23406,"","",-21.1198958,-47.8092355,11,4
Avenida Eduardo Andrea Matarazzo,Valentina Figueiredo,14061710,229971,9560,23406,"","",-21.1398894,-47.8039310,11,4
Avenida Governador Mário Covas,Valentina Figueiredo,14061800,229972,9560,23406,"","",-21.1321389,-47.8040596,11,4
Travessa Doutor Zamenhof,Vila Pompéia,14060619,229800,9560,23425,"","",-21.1390828,-47.8182096,11,4
Travessa Cariri,Vila Pompéia,14060647,229811,9560,23425,"","",-21.1392146,-47.8223510,11,4
Travessa Pompéia,Vila Pompéia,14060648,229812,9560,23425,"","",-21.1379982,-47.8209785,11,4
Travessa Coroados,Vila Pompéia,14060649,229813,9560,23425,"","",-21.1373984,-47.8204486,11,4
Rua Mandaguari,Vila Pompéia,14060650,229814,9560,23425,"","",-21.1405977,-47.8243252,11,4
Travessa Carajás,Vila Pompéia,14060659,229820,9560,23425,"","",-21.1382433,-47.8221635,11,4
Travessa Capão da Cruz,Vila Pompéia,14060658,229819,9560,23425,"","",-21.14005600,-47.82154550,11,4
Residencial Vila Margarida,Geraldo Correia de Carvalho,14061282,229915,9560,23301,"","",-21.125312,-47.817767,11,4
Rua Doze,Jardim Javari,14060667,229827,9560,53576,"","",-21.136308,-47.820732,11,4
Condomínio Vivenda Ribeirão I,Jardim Herculano Fernandes,14060860,229876,9560,31007,"","",-21.12834730,-47.82132960,11,4
Rua Professor Doutor Sílvio Maia Campos,Jardim Javari,14060652,229815,9560,53576,"","",-21.136819,-47.819822,11,4
Praça Francisco de Assis,Presidente Dutra,14060769,229846,9560,23388,"","",-21.130984,-47.819004,11,4
Rua Elvira Amador Biasoli,Jardim Heitor Rigon,14062020,229977,9560,23324,"","",-21.119220,-47.817981,11,4
Rua Antônia Quaresma da Silveira Minto,Jardim Heitor Rigon,14062091,230014,9560,23324,"","",-21.115466,-47.818237,11,4
Rua Emílio de Menezes,Valentina Figueiredo,14080128,231231,9560,23406,"","",-21.121122,-47.804240,11,4
Rua Ângelo Stefanelli,Jardim Alexandre Balbo,14065640,230243,9560,23307,"","",-21.128529,-47.832337,11,4
Rua Maria Idalba Selma Gomes Caldas,Jardim Alexandre Balbo,14065669,230252,9560,23307,"","",-21.129771,-47.834699,11,4
Rua Pedro Pereira,Jardim Orestes Lopes de Camargo,14066432,230390,9560,23351,"","",-21.120540,-47.821033,11,4
Rua Conde de Irajá,Jardim Centenário,14030365,228192,9560,58190,"","",-21.1902367,-47.8334980,5,5
Rua Visconde de Inhomirim,Jardim Centenário,14030368,228193,9560,58190,"","",-21.1891715,-47.8340481,5,5
Rua Teófilo Braga,Jardim Centenário,14030370,228194,9560,58190,"","",-21.1953910,-47.8387021,5,5
Rua Marajó,Jardim Centenário,14030375,228195,9560,58190,"","",-21.1892791,-47.8352174,5,5
Avenida Monteiro Lobato,Jardim Centenário,14030378,228196,9560,58190,"","",-21.1883841,-47.8356791,5,5
Rua Marechal Milton Freitas de Almeida,Jardim Marchesi,14031150,228312,9560,23344,"","",-21.2040796,-47.8388573,5,5
Rua Carolina Ribeiro,Jardim Marchesi,14031178,228317,9560,23344,"","",-21.2040032,-47.8428069,5,5
Rua João Carreira Miguel,Jardim Marchesi,14031179,228318,9560,23344,"","",-21.2045711,-47.8414976,5,5
Avenida Cásper Líbero,Jardim Marchesi,14031180,228319,9560,23344,"","",-21.2027801,-47.8455986,5,5
Avenida Arlindo Silva Pimenta,Jardim Marchesi,14031200,228322,9560,23344,"","",-21.2040648,-47.8441163,5,5
Rua Professor Wlademir Pinto Ferraz,Jardim Marchesi,14031203,228323,9560,23344,"","",-21.2027421,-47.8461020,5,5
Rua Clemente Santili,Jardim Marchesi,14031270,228340,9560,23344,"","",-21.2028859,-47.8362380,5,5
Rua José Cláudio Louzada,Jardim Marchesi,14031274,228341,9560,23344,"","",-21.2041893,-47.8333186,5,5
Rua Abel Conceição,Jardim Marchesi,14031276,228342,9560,23344,"","",-21.2028878,-47.8334795,5,5
Rua Roquete Pinto,Jardim Marchesi,14031278,228343,9560,23344,"","",-21.2053398,-47.8354663,5,5
Rua Antônio José Morgado,Jardim Marchesi,14031280,228344,9560,23344,"","",-21.2035714,-47.8361645,5,5
Rua Benedito Quartin,Jardim Marchesi,14031282,228345,9560,23344,"","",-21.2050176,-47.8361216,5,5
Rua Aristides Bernardes Barreto,Jardim Marchesi,14031284,228346,9560,23344,"","",-21.2023758,-47.8355973,5,5
Rua Afonso Villa,Jardim Marchesi,14031286,228347,9560,23344,"","",-21.2046864,-47.8375092,5,5
Rua Pedro Marzola,Jardim Marchesi,14031298,228349,9560,23344,"","",-21.2042032,-47.8380561,5,5
Rua Alfredo Condeixa,Jardim Marchesi,14031300,228350,9560,23344,"","",-21.2014442,-47.8419894,5,5
Avenida Manoel Antônio Dias,Jardim Marchesi,14031330,228359,9560,23344,"","",-21.2051294,-47.8532095,5,5
Avenida dos Andradas,Jardim Marchesi,14031332,228360,9560,23344,"","",-21.2055801,-47.8330470,5,5
Rua Floriano Leite Ribeiro,Jardim Marchesi,14031476,228378,9560,23344,"","",-21.2018108,-47.8514517,5,5
Rua Antônio Mulin,Jardim Marchesi,14031489,228381,9560,23344,"","",-21.2033907,-47.8505745,5,5
Rua José de Assis Lemos,Jardim Marchesi,14031520,228394,9560,23344,"","",-21.2038086,-47.8465190,5,5
Rua Major Ricardo Guimarães,Jardim Marchesi,14031526,228395,9560,23344,"","",-21.2026508,-47.8482950,5,5
Rua Jan Janowski,Jardim Marchesi,14031163,228315,9560,23344,"","",-21.201253,-47.838566,5,5
Rua Padre Manoel Bernardes,Jardim Maria Goretti,14030280,228173,9560,23347,"","",-21.1887004,-47.8363025,5,5
Rua Gilberto Freire,Jardim Maria Goretti,14030290,228174,9560,23347,"","",-21.1912816,-47.8323245,5,5
Rua Alberto de Oliveira,Jardim Maria Goretti,14030300,228176,9560,23347,"","",-21.1898805,-47.8375397,5,5
Travessa Alberto de Oliveira,Jardim Maria Goretti,14030309,228177,9560,23347,"","",-21.1906301,-47.8358547,5,5
Rua Arthur Ramos,Jardim Maria Goretti,14030310,228178,9560,23347,"","",-21.1928912,-47.8325641,5,5
Rua Juruá,Jardim Maria Goretti,14030313,228179,9560,23347,"","",-21.1941144,-47.8276737,5,5
Rua Jorge de Lima,Jardim Maria Goretti,14030320,228181,9560,23347,"","",-21.1915156,-47.8377271,5,5
Rua Abílio Sampaio,Jardim Maria Goretti,14030325,228182,9560,23347,"","",-21.1915843,-47.8275063,5,5
Rua Ronald de Carvalho,Jardim Maria Goretti,14030330,228183,9560,23347,"","",-21.1923882,-47.8377497,5,5
Rua Paulo de Frontim,Jardim Maria Goretti,14030335,228184,9560,23347,"","",-21.1911969,-47.8284281,5,5
Rua Mário de Andrade,Jardim Maria Goretti,14030340,228185,9560,23347,"","",-21.1928869,-47.8384870,5,5
Rua Doutor João Guião,Jardim Maria Goretti,14030343,228186,9560,23347,"","",-21.1907051,-47.8292777,5,5
Rua Júlio de Mesquita,Jardim Maria Goretti,14030346,228187,9560,23347,"","",-21.1903839,-47.8301927,5,5
Rua José Veríssimo,Jardim Maria Goretti,14030350,228188,9560,23347,"","",-21.1953440,-47.8348224,5,5
Rua Dois,Vila do Golf,14027511,227941,9560,49297,"","",-21.2349155,-47.8391975,1,1
Rua Euclides da Cunha,Jardim Maria Goretti,14030353,228189,9560,23347,"","",-21.1899571,-47.8311203,5,5
Rua Franco da Rocha,Jardim Maria Goretti,14030356,228190,9560,23347,"","",-21.1903716,-47.8324521,5,5
Rua Aloísio de Azevedo,Jardim Maria Goretti,14030360,228191,9560,23347,"","",-21.1944226,-47.8389291,5,5
