UF,IBGE,COD_FAMILIAR,DT_HORA_ACAO,COD_MOTIVO,MOTIVO                                                                                           ,
SP,3543402,3098258225,16/06/2025 01:16:39,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3098258225,29/07/2024 18:56:45,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3103554940,16/06/2025 01:16:39,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3103585586,13/09/2025 22:38:48,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3108727583,15/06/2025 22:12:14,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3108727583,16/06/2025 01:16:39,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3113712645,15/12/2025 05:38:54,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3113712645,29/07/2025 21:12:02,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3114201415,12/07/2025 22:52:53,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3114201415,15/06/2024 10:29:24,1003,FAMILIA SEM RESPONSAVEL FAMILIAR                                      ,                       
SP,3543402,3114201415,09/11/2024 04:48:09,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3118593563,16/06/2025 01:17:05,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3118593563,13/09/2025 16:56:22,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3124600312,11/10/2025 17:05:04,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3124600312,11/10/2025 18:35:33,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3135015300,13/09/2025 22:38:55,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3135015300,16/03/2024 21:58:56,1003,FAMILIA SEM RESPONSAVEL FAMILIAR                                      ,                       
SP,3543402,3135015300,16/06/2025 01:17:05,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3135015300,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3135289346,15/12/2025 05:38:59,1003,FAMILIA SEM RESPONSAVEL FAMILIAR                                      ,                       
SP,3543402,3137052670,16/06/2025 01:17:05,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3137052670,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3137714214,08/11/2025 17:47:49,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3140994095,12/07/2025 22:53:00,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3140994095,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3143027606,24/11/2025 21:48:10,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3148746317,11/10/2025 18:35:47,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3148746317,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3154222898,12/07/2025 22:53:04,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3158091321,16/06/2025 01:17:34,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3163517412,11/10/2025 18:35:47,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3163517412,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3168180114,13/09/2025 22:39:02,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3168180114,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3180536837,09/08/2025 16:50:38,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3182887025,16/06/2025 01:17:34,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3187710476,16/06/2025 01:18:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3187710476,12/07/2025 16:22:13,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3188915225,11/10/2025 18:36:02,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3188915225,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3190790582,16/06/2025 01:18:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3192255854,15/12/2025 05:39:10,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3192255854,17/06/2023 11:39:05,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3192255854,16/06/2025 01:18:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3192255854,08/02/2025 03:17:31,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3192531045,09/08/2025 16:50:41,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3192531045,15/06/2025 22:12:46,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3192531045,29/07/2024 18:56:45,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3199612814,09/08/2025 16:50:42,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3199612814,15/06/2025 22:12:49,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3199612814,16/06/2025 01:18:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3199612814,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3208526601,16/06/2025 01:18:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
