endereco;bairro;cep;lat;lng
Rua Humberto Felloni;Parque Industrial Avelino Alves Palma;14020470;-21.1996132;-47.8061227
Rua Maria Luiza da Silva Prado Ramos;Parque Industrial Avelino Alves Palma;14020471;;
Rua Londrina;Jardim Salgado Filho;14020472;;
Rua Adilson Bignardi;Jardim Patriarca;14020473;;
Rua Major-Brigadeiro-do-Ar Josino Maia de Assis;Cidade Jardim;14020474;;
Rua Genny Arantes Vianna Cione;Residencial Léo Gomes de Moraes;14020475;;
Rua Henrique Santillo;Jardim Professor Antônio Palocci;14020476;;
Rua Emílio José Campos;Jardim Professor Antônio Palocci;14020477;;
Rua Olinda Ribeiro Waldemar;Jardim Professor Antônio Palocci;14020478;;
Rua Angelino Vendrúsculo;Jardim Professor Antônio Palocci;14020479;;
Rua Pedro Matiuzzo;Jardim Professor Antônio Palocci;14020480;-21.1999225;-47.8036548
Rua Ademir Spagnol Miluzzi;Jardim Diva Tarlá de Carvalho;14020481;;
Rua Paulo Cesar Rodrigues;Jardim Vilico Cantarelli;14020482;;
Rua Breno Nogueira;Jardim Vilico Cantarelli;14020483;;
Rua Daudt José da Costa;Jardim Pedra Branca;14020484;;
Rua Senador Darcy Ribeiro;Jardim Porto Seguro;14020485;;
Rua Selma Marina Barrela dos Santos;Jardim Ouro Branco;14020486;;
Travessa Vanderci Mattiusso;Jardim Paulistano;14020487;;
Rua Jair Grellet;Jardim Castelo Branco;14020488;;
Rua Ângelo Parmigiani;Iguatemi;14020489;-21.2012701;-47.8074874
